Iteration 1/1000000: Train loss: 5.120366, Train Accuracy: 0.515625, lr = 0.001000
Iteration 2/1000000: Train loss: 5.119521, Train Accuracy: 0.531250, lr = 0.001000
Iteration 3/1000000: Train loss: 5.120758, Train Accuracy: 0.531250, lr = 0.001000
Iteration 4/1000000: Train loss: 5.119619, Train Accuracy: 0.515625, lr = 0.001000
Iteration 5/1000000: Train loss: 5.118984, Train Accuracy: 0.562500, lr = 0.001000
Iteration 6/1000000: Train loss: 5.120109, Train Accuracy: 0.468750, lr = 0.001000
Iteration 7/1000000: Train loss: 5.120062, Train Accuracy: 0.453125, lr = 0.001000
Iteration 8/1000000: Train loss: 5.118686, Train Accuracy: 0.578125, lr = 0.001000
Iteration 9/1000000: Train loss: 5.120131, Train Accuracy: 0.484375, lr = 0.001000
Iteration 10/1000000: Train loss: 5.120940, Train Accuracy: 0.468750, lr = 0.001000
Iteration 11/1000000: Train loss: 5.121116, Train Accuracy: 0.484375, lr = 0.001000
Iteration 12/1000000: Train loss: 5.121199, Train Accuracy: 0.468750, lr = 0.001000
Iteration 13/1000000: Train loss: 5.118237, Train Accuracy: 0.515625, lr = 0.001000
Iteration 14/1000000: Train loss: 5.120498, Train Accuracy: 0.468750, lr = 0.001000
Iteration 15/1000000: Train loss: 5.120316, Train Accuracy: 0.453125, lr = 0.001000
Iteration 16/1000000: Train loss: 5.118874, Train Accuracy: 0.515625, lr = 0.001000
Iteration 17/1000000: Train loss: 5.121737, Train Accuracy: 0.453125, lr = 0.001000
Iteration 18/1000000: Train loss: 5.119328, Train Accuracy: 0.562500, lr = 0.001000
Iteration 19/1000000: Train loss: 5.120120, Train Accuracy: 0.437500, lr = 0.001000
Iteration 20/1000000: Train loss: 5.121492, Train Accuracy: 0.453125, lr = 0.001000
Iteration 21/1000000: Train loss: 5.118591, Train Accuracy: 0.562500, lr = 0.001000
Iteration 22/1000000: Train loss: 5.119902, Train Accuracy: 0.515625, lr = 0.001000
Iteration 23/1000000: Train loss: 5.119507, Train Accuracy: 0.531250, lr = 0.001000
Iteration 24/1000000: Train loss: 5.120997, Train Accuracy: 0.437500, lr = 0.001000
Iteration 25/1000000: Train loss: 5.120483, Train Accuracy: 0.484375, lr = 0.001000
Iteration 26/1000000: Train loss: 5.119633, Train Accuracy: 0.500000, lr = 0.001000
Iteration 27/1000000: Train loss: 5.120000, Train Accuracy: 0.500000, lr = 0.001000
Iteration 28/1000000: Train loss: 5.118595, Train Accuracy: 0.515625, lr = 0.001000
Iteration 29/1000000: Train loss: 5.119579, Train Accuracy: 0.468750, lr = 0.001000
Iteration 30/1000000: Train loss: 5.119499, Train Accuracy: 0.531250, lr = 0.001000
Iteration 31/1000000: Train loss: 5.119189, Train Accuracy: 0.546875, lr = 0.001000
Iteration 32/1000000: Train loss: 5.120148, Train Accuracy: 0.484375, lr = 0.001000
Iteration 33/1000000: Train loss: 5.120284, Train Accuracy: 0.484375, lr = 0.001000
Iteration 34/1000000: Train loss: 5.119606, Train Accuracy: 0.500000, lr = 0.001000
Iteration 35/1000000: Train loss: 5.118539, Train Accuracy: 0.578125, lr = 0.001000
Iteration 36/1000000: Train loss: 5.120489, Train Accuracy: 0.562500, lr = 0.001000
Iteration 37/1000000: Train loss: 5.118783, Train Accuracy: 0.578125, lr = 0.001000
Iteration 38/1000000: Train loss: 5.121610, Train Accuracy: 0.437500, lr = 0.001000
Iteration 39/1000000: Train loss: 5.121739, Train Accuracy: 0.484375, lr = 0.001000
Iteration 40/1000000: Train loss: 5.119970, Train Accuracy: 0.500000, lr = 0.001000
Iteration 41/1000000: Train loss: 5.118206, Train Accuracy: 0.625000, lr = 0.001000
Iteration 42/1000000: Train loss: 5.120556, Train Accuracy: 0.453125, lr = 0.001000
Iteration 43/1000000: Train loss: 5.119031, Train Accuracy: 0.500000, lr = 0.001000
Iteration 44/1000000: Train loss: 5.120333, Train Accuracy: 0.500000, lr = 0.001000
Iteration 45/1000000: Train loss: 5.121025, Train Accuracy: 0.437500, lr = 0.001000
Iteration 46/1000000: Train loss: 5.120634, Train Accuracy: 0.468750, lr = 0.001000
Iteration 47/1000000: Train loss: 5.120143, Train Accuracy: 0.484375, lr = 0.001000
Iteration 48/1000000: Train loss: 5.119655, Train Accuracy: 0.546875, lr = 0.001000
Iteration 49/1000000: Train loss: 5.120019, Train Accuracy: 0.515625, lr = 0.001000
Iteration 50/1000000: Train loss: 5.120390, Train Accuracy: 0.421875, lr = 0.001000
Iteration 51/1000000: Train loss: 5.120094, Train Accuracy: 0.437500, lr = 0.001000
Iteration 52/1000000: Train loss: 5.119571, Train Accuracy: 0.484375, lr = 0.001000
Iteration 53/1000000: Train loss: 5.119542, Train Accuracy: 0.468750, lr = 0.001000
Iteration 54/1000000: Train loss: 5.120246, Train Accuracy: 0.437500, lr = 0.001000
Iteration 55/1000000: Train loss: 5.119007, Train Accuracy: 0.531250, lr = 0.001000
Iteration 56/1000000: Train loss: 5.119583, Train Accuracy: 0.468750, lr = 0.001000
Iteration 57/1000000: Train loss: 5.120206, Train Accuracy: 0.500000, lr = 0.001000
Iteration 58/1000000: Train loss: 5.120286, Train Accuracy: 0.484375, lr = 0.001000
Iteration 59/1000000: Train loss: 5.119055, Train Accuracy: 0.562500, lr = 0.001000
Iteration 60/1000000: Train loss: 5.118492, Train Accuracy: 0.546875, lr = 0.001000
Iteration 61/1000000: Train loss: 5.119166, Train Accuracy: 0.515625, lr = 0.001000
Iteration 62/1000000: Train loss: 5.119998, Train Accuracy: 0.515625, lr = 0.001000
Iteration 63/1000000: Train loss: 5.120502, Train Accuracy: 0.500000, lr = 0.001000
Iteration 64/1000000: Train loss: 5.120987, Train Accuracy: 0.468750, lr = 0.001000
Iteration 65/1000000: Train loss: 5.120948, Train Accuracy: 0.515625, lr = 0.001000
Iteration 66/1000000: Train loss: 5.120085, Train Accuracy: 0.500000, lr = 0.001000
Iteration 67/1000000: Train loss: 5.119184, Train Accuracy: 0.515625, lr = 0.001000
Iteration 68/1000000: Train loss: 5.119996, Train Accuracy: 0.500000, lr = 0.001000
Iteration 69/1000000: Train loss: 5.119135, Train Accuracy: 0.531250, lr = 0.001000
Iteration 70/1000000: Train loss: 5.119565, Train Accuracy: 0.531250, lr = 0.001000
Iteration 71/1000000: Train loss: 5.120516, Train Accuracy: 0.500000, lr = 0.001000
Iteration 72/1000000: Train loss: 5.119761, Train Accuracy: 0.484375, lr = 0.001000
Iteration 73/1000000: Train loss: 5.120310, Train Accuracy: 0.484375, lr = 0.001000
Iteration 74/1000000: Train loss: 5.118898, Train Accuracy: 0.593750, lr = 0.001000
Iteration 75/1000000: Train loss: 5.121297, Train Accuracy: 0.515625, lr = 0.001000
Iteration 76/1000000: Train loss: 5.119608, Train Accuracy: 0.515625, lr = 0.001000
Iteration 77/1000000: Train loss: 5.118993, Train Accuracy: 0.578125, lr = 0.001000
Iteration 78/1000000: Train loss: 5.118304, Train Accuracy: 0.515625, lr = 0.001000
Iteration 79/1000000: Train loss: 5.118389, Train Accuracy: 0.562500, lr = 0.001000
Iteration 80/1000000: Train loss: 5.121058, Train Accuracy: 0.468750, lr = 0.001000
Iteration 81/1000000: Train loss: 5.120489, Train Accuracy: 0.515625, lr = 0.001000
Iteration 82/1000000: Train loss: 5.121405, Train Accuracy: 0.468750, lr = 0.001000
Iteration 83/1000000: Train loss: 5.121122, Train Accuracy: 0.453125, lr = 0.001000
Iteration 84/1000000: Train loss: 5.123529, Train Accuracy: 0.484375, lr = 0.001000
Iteration 85/1000000: Train loss: 5.121052, Train Accuracy: 0.484375, lr = 0.001000
Iteration 86/1000000: Train loss: 5.119483, Train Accuracy: 0.484375, lr = 0.001000
Iteration 87/1000000: Train loss: 5.119828, Train Accuracy: 0.531250, lr = 0.001000
Iteration 88/1000000: Train loss: 5.120129, Train Accuracy: 0.562500, lr = 0.001000
Iteration 89/1000000: Train loss: 5.119599, Train Accuracy: 0.484375, lr = 0.001000
